ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES																		
57	First meeting	Das erste Meeting		Primer encuentro	You will learn and practise some basic expressions for meeting and greeting each other and review the first, second and third person forms of the verb be.	Sie werden grundlegende Ausdrücke für das erste Treffen und die Begrüßung lernen und üben sowie die erste, zweite und dritte Person Singular im Präsenz des Verbs 'be' wiederholen. 		Aprenderás y practicarás algunas expresiones básicas para conocerse y saludarse. También repasará la primera, segunda y tercera persona del verbo "to be".																		SUPPORT DE COURS
19	Business people	Geschäftsleute		Gente de negocios	This lesson contains the past simple forms of regular verbs. The worksheet includes a text about Steve Jobs and a gap-fill exercise and speaking activity on Anita Roddick, who was Britain's most famous businesswoman.	Diese Lektion beinhaltet die past simple Formen unregelmäßiger Verben. Das Arbeitsblatt enthält einen Text über Steve Jobs und einen Lückentext sowie eine Sprechaufgabe über Anita Roddick, der berühmtesten Geschäftsfrau in Großbritannien. 		Esta lección contiene las formas pasadas simples de los verbos regulares. La hoja de trabajo incluye un texto sobre Steve Jobs y un ejercicio para completar, más una actividad del habla sobre Anita Roddick,  la empresaria más famosa de Gran Bretaña.																		SUPPORT DE COURS
78	Making small talk	Plaudern		Conversación trivial	In this lesson you will learn how to socialise in English. The worksheets presents a variety of conversation starters and responses.	In dieser Lektion werden Sie lernen, wie man auf Englisch Kontakte knüpfen kann. Die Arbeitsblätter stellen eine Reihe an Einstiegsthemen und Antworten vor. 		En esta lección aprenderá a socializar en inglés. Las hojas de trabajo presentan una variedad de iniciadores de conversación y respuestas.																		SUPPORT DE COURS
104	Questions	Fragen		Preguntas	You will practise asking questions with the words who, why, where, when, whose, etc. The worksheet assumes a basic knowledge of the present simple, present continuous and past simple.	Sie werden üben, Fragen mit den Wörtern who, why, where, when, whose, etc. zu stellen. Das Arbeitsblatt setzt ein Grundverständnis des present simple, present continuous und past simple voraus. 		Practicarás haciendo preguntas con las palabras "who, why, where, when, whose", etc. La hoja de trabajo asume un conocimiento básico del presente simple, del presente continuo y del pasado simple.																		SUPPORT DE COURS
101	Problems at work	Probleme bei der Arbeit		Problemas en el trabajo	The theme of this elementary+ lesson plan is work-related problems. Activities cover office, company and personal work problems. The worksheet ends with a dialogue-based exercise in which you listen to two colleagues trying to fix a printer problem.	Das Thema dieses Stundenentwurfs der fortgeschrittenen Grundstufe sind arbeitsspezifische Probleme. Das Arbeitsblatt endet mit einer dialoggestützten Übung, in der Sie zwei Kollegen zuhören, die versuchen, ein Druckerproblem in Ordnung zu bringen. 		El tema de este plan de lecciones para principiantes son los problemas relacionados con el trabajo. Las actividades cubren problemas empresariales, personales y de oficina. La hoja de trabajo termina con un ejercicio basado en diálogos en el que escucha a dos colegas que intentan solucionar un problema con la impresora.																		SUPPORT DE COURS
106	Rules of the workplace	Regeln am Arbeitsplatz		Reglas del lugar de trabajo	In this lesson you will learn the use of can/can't for talking about permission and prohibition. The lesson features a listening exercise in which a manager is explaining workplace rules to a new employee.	In dieser Lektion werden Sie lernen, can/can't zu benutzen, um über Erlaubnisse und Verbote zu reden. Die Lektion beinhaltet ein Hörverstehen, in dem ein Manager seinen neuen Angestellten die Regeln für die Arbeit erklärt. 		En esta lección, aprenderá el uso de "can / can't" para hablar sobre el permiso y la prohibición. La lección presenta un ejercicio de escucha en el que un gerente explica las reglas del lugar de trabajo a un nuevo empleado.																		SUPPORT DE COURS
139	The workplace	Der Arbeitsplatz		El lugar de trabajo	In this lesson you will learn how to describe different places of work as well as common collocations for typical work tasks. The lesson assumes prior of knowledge of the present simple and expressions of frequency.	In dieser Lektion werden Sie die Beschreibung verschiedener Arbeitsplätze sowie übliche Kollokationen für typische Arbeitsaufgaben lernen. Die Lektion setzt das Vorwissen des present simple und Häufigkeitsausdrücke voraus. 		En esta lección, aprenderá a describir diferentes lugares de trabajo, así como "collocations" para tareas laborales típicas. Se requiere de un conocimiento previo del presente simple y expresiones de frecuencia.																		SUPPORT DE COURS
95	On your desk	An meinem Schreibtisch		En tu escritorio	This lesson teaches vocabulary for common objects found on a desk. 	Diese Lektion vermittelt Wortschatz für Gegenstände, die man normalerweise auf einem Schreibtisch antrifft. 		Esta lección enseña vocabulario para objetos que generalmente se encuentran en un escritorio.																		SUPPORT DE COURS
14	Business expressions	Business-Ausdrücke		Expresiones de negocios	You can practise some basic expressions used in typical business situations.	Sie können einige grundlegende Ausdrücke üben, die in geschäftlichen Situationen verwendet werden. 		Puede practicar algunas expresiones básicas que se utilizan en situaciones comerciales típicas.																		SUPPORT DE COURS
2	Achievement (business version)	Leistung (Businessversion)		Logros (versión de negocios)	In this lesson you will practise forming sentences and questions in the present perfect simple (regular and irregular verbs). The worksheet includes a text about Bill Gates and rounds off with a 'Find someone who ...' activity.	In dieser Lektion werden Sie üben, Sätze und Fragen im present perfect simple (regelmäßige und unregelmäßige Verben) zu bilden. Das Arbeitsblatt beinhaltet einen Text über Bill Gates und wird durch eine 'Find someone who...' Aufgabe abgerundet. 		En esta lección, practicarás la formación de oraciones y preguntas en presente perfecto simple (verbos regulares e irregulares). La hoja de trabajo incluye un texto sobre Bill Gates y culmina con una actividad del tipo "Encuentra a alguien que...".																		
	LEVEL B1 - ENGLISH FOR BUSINESS																									
160	Your company	Dein Unternehmen		Su empresa	In this lesson you will listen to an employee being interviewed about her company. They then practise using the questions and key vocabulary from the dialogue to talk about their own companies.	In dieser Lektion hören Sie, wie ein Angestellter über seine Firma interviewt wird. Danach werden Sie die Fragen und den Schlüsselwortschatz des Dialoges verwenden, um über Ihre eigene Firma zu sprechen. 		En esta lección, escuchará a una empleada siendo entrevistada y hablando sobre su empresa. Luego practican el uso de las preguntas y el vocabulario clave del diálogo para hablar sobre sus propias empresas.																		SUPPORT DE COURS
154	Working hours	Arbeitszeiten		Horas de trabajo	In this lesson you will  read an article about pros and cons of Sweden's six-hour work day. The 5-page worksheet includes a grammar activity on reported speech.	In dieser Lektion werden Sie einen Artikel über die Vorteile und Nachteile des sechsstündigen Arbeitstages in Schweden lesen. Das 5-seitige Arbeitsblatt beinhaltet eine Aufgabe zur Grammatik über indirekte Rede. 		En esta lección, leerá un artículo sobre los pros y los contras de la jornada laboral de seis horas en Suecia. La hoja de trabajo de 5 páginas incluye una actividad gramatical sobre el estilo indirecto.																		SUPPORT DE COURS
42	Describing colleagues	Kollegen beschreiben		Describir a colegas	In this lesson you will learn how to describe colleagues and people at work using a variety of adjectives and expressions.	In dieser Lektion werden Sie lernen, wie Sie Kollegen und Leute bei der Arbeit beschreiben können, indem Sie eine Reihe an Adjektiven und Ausdrücken verwenden. 		En esta lección, aprenderá a describir a colegas y personas en el trabajo utilizando una variedad de adjetivos y expresiones.																		SUPPORT DE COURS
74	Left behind	Zurückgelassen		Olvidados	In this short lesson you will listen to a dialogue between two work colleagues. One of the speakers has forgotten several items in his office and tries to explain where they are. 	In dieser kurzen Lektion werden Sie einen Dialog zwischen zwei Arbeitskollegen anhören. Einer der Sprecher hat verschiedene Gegenstände im Büro vergessen und versucht zu erklären, wo sie sind. 		En esta lección corta, escucharás un diálogo entre dos compañeros de trabajo. Uno de ellos ha olvidado varios elementos en su oficina e intenta explicar dónde están.																		SUPPORT DE COURS
123	Taking a break	Eine Pause machen		Tomarse un descanso	In this lesson you will read an article about how skipping lunch can affect productivity and wellbeing in the workplace. The worksheet includes an activity on the use of can/can't for talking about ability and possibility.	In dieser Lektion werden Sie einen Artikel darüber lesen, wie ein Verzicht auf das Mittagessen die Produktivität und das Wohlbefinden am Arbeitsplatz ankurbeln kann. Das Arbeitsblatt beinhaltet eine Aufgabe zur Verwendung von can/can't, um über Fähigkeiten und Möglichkeiten zu sprechen. 		En esta lección, leerá un artículo sobre cómo saltarse el almuerzo puede afectar la productividad y el bienestar en el lugar de trabajo. La hoja de trabajo incluye una actividad sobre el uso de "can / can't" para hablar sobre habilidad y posibilidad.																		SUPPORT DE COURS
119	Statistics	Statistiken		Estadísticas	In this lesson you will learn how to describe graphs using simple verb and adverb combinations in the past simple. The worksheet also includes an exercise on describing pie charts using quantifiers (most ..., a quarter of ..., 10 percent of ..., etc.)	In dieser Lektion werden Sie lernen, wie Sie einfache Graphiken beschreiben können, indem Sie einfache Verb- und Adverbkombinationen im past simple verwenden. Das Arbeitsblatt beinhaltet auch eine Übung, um ein Kuchendiagramm mit Zahlwörtern (most..., a quarter of..., 10 percent of...etc.) zu beschreiben. 		En esta lección, aprenderá a describir gráficos usando combinaciones simples de verbos y adverbios en pasado simple. La hoja de trabajo también incluye un ejercicio sobre la descripción de gráficos circulares utilizando cuantificadores (most ..., a quarter of ..., 10 percent of ..., etc.)																		SUPPORT DE COURS
92	Office equipment and supplies	Büroausstattung- und  bedarf		Equipos y suministros de oficina	In this lesson you will learn key vocabulary for office stationery, supplies and equipment. The worksheet includes a speaking activity and several image-based exercises.	In dieser Lektion werden Sie Schlüsselwortschatz lernen, um Büroschreibwaren,  Bürobedarf und Büroausrüstung zu beschreiben. Das Arbeitsblatt beinhaltet eine Sprechaufgabe und einige bildgestützte Übungen. 		En esta lección, aprenderá vocabulario clave para material de oficina, suministros y equipo. La hoja de trabajo incluye una actividad oral y varios ejercicios basados en imágenes.																		SUPPORT DE COURS
149	Work and pay	Arbeit und Lohn		Trabajo y ocio	This lesson plan covers vocabulary for talking about work pay. There are exercises on salary collocations, work benefits and how to read a payslip. 	Dieser Stundenentwurf deckt Vokabeln ab, um über Gehalt zu sprechen. Es gibt Übungen zu Kollokationen mit 'Gehalt', Leistungen für Erwerbstätige und darüber, wie man einen Lohnzettel liest.  		Este plan de lecciones cubre el vocabulario para hablar sobre la remuneración del trabajo. Hay ejercicios sobre "collocations" salariales, sobre beneficios laborales y lectura de un recibo de pago.																		SUPPORT DE COURS
76	Living at work	Leben am Arbeitsplatz		Vivir en el trabajo	In this lesson you will read about the lifestyle of certain Google employees who have reportedly been living on the company's premises. The worksheet includes several vocabulary exercises.	In dieser Lektion werden Sie über den Lebenstil einiger Angestellten von Google lesen, die nachweislich auf dem Gelände der Firma gelebt haben. Das Arbeitsblatt deckt verschiedene Übungen zum Thema Wortschatz ab. 		En esta lección, leerá sobre el estilo de vida de ciertos empleados de Google que, según informes, han estado viviendo en las instalaciones de la empresa. La hoja de trabajo incluye varios ejercicios de vocabulario.																		SUPPORT DE COURS
141	Time management	Zeit Management		Manejo del tiempo	In this lesson you will learn and use vocabulary connected with time management. Look at tips on how to prioritise tasks.	In dieser Lektion werden Sie Vokabeln zum Thema Zeitmanagement lernen und üben.  Sie schauen sich Tips an, wie Sie Prioritäten setzen können. 		En esta lección aprenderá y utilizará vocabulario relacionado con la gestión del tiempo. Consulte los consejos sobre cómo priorizar las tareas.																		SUPPORT DE COURS
386	Password advice	Passwort Hinweis		Consejo de contraseña	In this lesson you will read an article about how to choose a password according to advice from the UK's spying agency GCHQ. The grammar section of the worksheet looks at verb patterns with the infinitive and gerund.	In dieser Lektion werden Sie einen Artikel darüber lesen, wie man gemäß der britischen Spionagebehörde GCHQ ein Passwort auswählen sollte. Der grammatische Teil des Arbeitsblattes konzentriert sich auf den Infinitiv und das Gerund. 		En esta lección, leerá un artículo sobre cómo elegir una contraseña de acuerdo con los consejos de la agencia de espionaje del Reino Unido, GCHQ. La sección de gramática de la hoja de trabajo analiza los patrones de verbos con infinitivo y gerundio.																		SUPPORT DE COURS
23	Career advice	Karriereberatung		Consejo profesional	In this lesson you will read an article about the phrases that they should avoid using in their careers. The worksheet includes a grammar exercise on should/shouldn't + infinitive for giving advice and expressing expectation. 	In dieser Lektion werden Sie einen Artikel über die Wendungen lesen, die Sie bei ihrer Arbeit vermeiden sollten. Das Arbeitsblatt beinhaltet eine grammatische Übung über should/shouldn't + infinitive, um einen Rat zu geben oder eine Erwartung auszudrücken. 		En esta lección leerás un artículo sobre las frases que debe evitar en sus carreras profesionales. La hoja de trabajo incluye un ejercicio de gramática sobre "should/shouldn't + infinitivo" para dar consejos y expresar expectativas.																		SUPPORT DE COURS
146	What to wear at work	Was man bei der Arbeit  tragen sollte		Cómo vestirse en el trabajo	In this lesson you will learn and use vocabulary for work clothes worn in different professions. The worksheet also includes activities on what to wear for job interviews and common differences between words for work clothing in British and American English.	In dieser Lektion werden Sie Wortschatz für Arbeitskleidung in verschiedenen Berufen lernen und anwenden. Das Arbeitsblatt konzentriert sich darauf, was bei einem Bewerbungsgespräch getragen werden sollte und auf Unterschiede zwischen britischem und amerikanischem Englisch bei Ausdrücken für Arbeitskleidung . 		En esta lección, aprenderá y utilizará vocabulario para la ropa que se usa en diferentes profesiones. La hoja de trabajo también incluye actividades sobre qué ponerse para las entrevistas de trabajo y las diferencias más comunes entre las palabras para ropa de trabajo en inglés británico y americano.																		SUPPORT DE COURS
153	Work space	Arbeitsraum		Espacio de trabajo	In this lesson you will read a text about the pros and cons of working in an open-plan office. The worksheet focuses on vocabulary and speaking. There is also an exercise on linking words and phrases.	In dieser Lektion werden Sie einen Text über die Vor- und Nachteile lesen, die ein Großraumbüro mit sich bringt. Das Arbeitsblatt konzentriert sich auf Wortschatz und Sprechen. Es gibt auch eine Übung zu Verbindungswörtern und Wendungen. 		En esta lección, leerá un texto sobre los pros y los contras de trabajar en una oficina de planta abierta. La hoja de trabajo se centra en el vocabulario y el habla. También hay un ejercicio sobre conjunciones y frases conectoras.																		SUPPORT DE COURS
13	Business emails	Geschäftsemails		E-mails de negocios	In this lesson you will learn how to write emails for their work. The worksheet compares formal and informal styles of writing.	In dieser Lektion werden Sie lernen, wie Sie geschäftliche E-Mails schreiben können.  Das Arbeitsblatt vergleicht den formellen und informellen Schreibstil. 		En esta lección, aprenderá a escribir correos electrónicos para su trabajo. La hoja de trabajo compara los estilos de escritura formales e informales.																		SUPPORT DE COURS
254	Describing a job	Einen Job beschreiben		Describir un trabajo	In this lesson you will learn how to talk about a job. The worksheet presents some common nouns, adjectives and expressions used for describing jobs. 	In dieser Lektion werden Sie lernen, über eine Stelle zu sprechen. Das Arbeitsblatt stellt übliche Substantive, Adjektive und Ausdrücke vor, um Stellen zu beschreiben. 		En esta lección, aprenderá a hablar sobre un trabajo. La hoja de trabajo presenta algunos sustantivos, adjetivos y expresiones comunes que se utilizan para describir trabajos.																		SUPPORT DE COURS
81	Marketing	Marketing		Marketing	In this lesson you will learn and use vocabulary related to marketing. Activities cover digital and offline marketing, marketing tips and common collocations. At the end of the lesson, you will answer questions about marketing where they work.	In dieser Lektion werden Sie Wortschatz zu Marketing lernen und anwenden. Die Aufgaben decken digitales und nicht-digitales Marketing, Marketing Tips und übliche Kollokationen ab. Am Ende der Lektion werden Sie Fragen zu dem Marketingbereich beantworten, in dem Sie arbeiten. 		En esta lección aprenderá y utilizará vocabulario relacionado con el marketing. Las actividades cubren marketing digital y offline, consejos de marketing y "collocations" típicas. Al final de la lección, responderá preguntas sobre marketing del lugar donde trabaja.																		SUPPORT DE COURS
148	Words in English	Wörter auf Englisch		Palabras en inglés	Learn how to say the letters of the alphabet, how to ask about the meaning and spelling of unfamiliar words and how to describe different parts of speech (nouns, verbs, prepositions, pronouns adverbs). 	Lernen Sie, die Buchstaben des Alphabets auszusprechen, wie man nach der Bedeutung von unbekannten Wörtern frägt und wie man die verschiedenen Bestandteile von Sprache (Substantive, Verben, Präpositionen, Adverbien) beschreibt. 		Aprenda a decir las letras del alfabeto, a preguntar sobre el significado y la ortografía de palabras desconocidas y a describir diferentes partes de la oración (sustantivos, verbos, preposiciones, pronombres y adverbios).																		SUPPORT DE COURS
33	Comparing brands	Marken vergleichen		Comparando marcas	In this dialogue-based lesson, you will listen to a short market survey interview with a consumer about her opinions on consumer electronics brands. The focus is on the comparative and superlative forms of adjectives.	In dieser dialoggestützten Lektion werden Sie  in einer kurzen Marketing-Umfrage hören, was für eine Meinung eine Kundin zu elektronischen Marken hat. Der Fokus liegt auf dem Komparativ und den Superlativformen von Adjektiven. 		En esta lección basada en diálogos, escuchará una breve encuesta de mercado con un consumidor sobre sus opiniones sobre las marcas de productos electrónicos de consumo. El foco gramatical se centra en las formas comparativas y superlativas de los adjetivos.																		SUPPORT DE COURS
60	Freelancing	Freiberufliche Tätigkeit		Trabajo autónomo	In this lesson you will read an article about the freelancing trend in the UK, and the challenges and opportunities faced by self-employed people. The grammar section of the worksheet covers `will + infinitive' and `going to + infinitive' for making future predictions.	In dieser Lektion werden Sie einen Artikel über einen Trend in Großbritannien lesen, sich selbstständig zu machen und welchen Herausforderungen und Möglichkeiten Selbständige gegenüberstehen. Der Grammatikteil des Arbeitsblatts deckt die Struktur `will + infinitive' und `going to + infinitive' ab, um Vorhersagen über die Zukunft zu treffen. 		En esta lección, leerá un artículo sobre la tendencia del trabajador autónomo en el Reino Unido y los desafíos y oportunidades que enfrentan. La sección de gramática de la hoja de trabajo cubre "will + infinitivo" y "going to + infinitive" para hacer predicciones futuras.																		SUPPORT DE COURS
83	Marketing words	Marketing-Wörter		Palabras de marketing	In this lesson you will learn useful vocabulary related to marketing as well as the comparative forms of basic adjectives. 	In dieser Lektion werden Sie nützlichen Wortschatz zum Thema Marketing sowie die Komparativformen der Adjektive lernen. 		En esta lección aprenderá vocabulario útil relacionado con el marketing, así como las formas comparativas de los adjetivos básicos.																		SUPPORT DE COURS
56	First conditional review (business version)	Bedingungssatz 1  (Businessversion)		Revisión del primer condicional (versión de negocios)	This is the business version of our grammar lesson plan First Conditional Review. 	Dies ist die Business Version unseres Grammatik-Stundenentwurfs zur Wiederholung des ersten Bedingungssatzes (First Conditional).		Esta es la versión de negocios de nuestro plan de lecciones de gramática "Revisión del primer condicional".																		SUPPORT DE COURS
54	Finance	Finanzen		Finanzas	In this lesson you will learn and practise vocabulary connected with finance. Activities cover key verbs and nouns, financial businesses, and banking collocations.	In dieser Lektion werden Sie Wortschatz zum Thema Finanzen lernen und üben. Die Aufgaben decken Schlüsselverben und Substantive, Bezeichnungen für Finanzunternehmen sowie Kollokationen zum Thema 'Bank' ab.		En esta lección aprenderá y practicará vocabulario relacionado con las finanzas. Las actividades abarcan verbos y sustantivos clave, negocios financieros y "collocations" bancarias.																		
	LEVEL B2 - ENGLISH FOR BUSINESS																									
151	Work clothes	Arbeitskleidung		Ropa de trabajo	In this lesson you will learn how to talk about work clothing and dress code. The lesson includes a news report about a London receptionist who was sent home for not adhering to her company's dress code policy.	In dieser Lektion werden Sie lernen, über Bekleidung und Kleidervorschriften zu sprechen. Die Lektion beinhaltet einen Bericht über eine Pförtnerin in London, die nach Hause geschickt wurde, weil sie sich nicht an die Kleidervorschriften ihrer Firma hielt. 		En esta lección aprenderá a hablar sobre la ropa de trabajo y el código de vestimenta. La lección incluye un informe de noticias sobre una recepcionista de Londres que fue enviada a casa por no adherirse a la política de código de vestimenta de su empresa.																		SUPPORT DE COURS
111	Showing round visitors	Besucher herumführen		Mostrar los alrededores a visitas	In this lesson you will learn vocabulary for describing areas of an office, shop or factory and practise giving a tour of their workplace using a variety of useful expressions.	In dieser Lektion werden Sie Wortschatz lernen, um die verschiedenen Bereiche eines Büros, Geschäfts oder einer Fabrik zu beschreiben. Sie lernen außerdem, eine Führung durch Ihren Arbeitsbereich zu machen und dabei eine Reihe an nützlichen Ausdrücken zu verwenden. 		En esta lección aprenderá vocabulario para describir áreas de una oficina, tienda o fábrica y practicará cómo ofrecer un recorrido por su lugar de trabajo utilizando una variedad de expresiones útiles.																		SUPPORT DE COURS
70	Introductions	Vorstellungen		Presentaciones	This lesson teaches expressions for first-time introductions. Through listening learn how to introduce yourself to a colleague or business associate and make appropriate small talk. 	Diese Lektion vermittelt Ausdrücke für erste Vorstellungen. Dabei lernen Sie durch Hören, wie man sich selbst, Kollegen oder Geschäftspartner vorstellt und wie man richtig Small Talk macht. 		Esta lección enseña expresiones para presentarse por primera vez. A través de la escucha, aprenda a presentarse con un colega o socio comercial y a tener una charla trivial adecuada.																		SUPPORT DE COURS
31	Company and job	Unternehmen und  Arbeitsplatz		Empresa y trabajo	This lesson teaches useful vocabulary for talking about your company and job. Study expressions for describing a company’s history, location, size, market position, financial results and strategy. Listen to three co-workers talking about their work. Learn how to talk about your job responsibilities and what you like/dislike about your work. 	Diese Lektion vermittelt nützlichen Wortschatz, um über die Firma oder die Arbeitsstelle zu reden. Sie lernen Ausdrücke, um die Geschichte einer Firma, ihren Standort, ihre Größe und Marktposition, ihre Rechnungsergebnisse und die Strategie zu beschreiben. Sie hören, wie drei Mitarbeiter über ihre Arbeit sprechen. Lernen Sie über ihre Arbeitsaufgaben zu sprechen und darüber, was Sie an ihrer Arbeit mögen/nicht mögen.		Esta lección enseña vocabulario útil para hablar sobre su empresa y trabajo. Estudie expresiones para describir la historia, la ubicación, el tamaño, la posición en el mercado, los resultados financieros y la estrategia de una empresa. Escuche a tres compañeros de trabajo hablando sobre su trabajo. Aprenda a hablar sobre sus responsabilidades laborales y lo que le gusta o no de su trabajo.																		SUPPORT DE COURS
10	Branding	Markenbildung		El branding	Learn key branding vocabulary with this lesson. There is also a listening activity on the brand Nike. 	Lernen Sie Schlüsselwortschatz zur Markenbildung in dieser Lektion. Es gibt auch eine Aufgabe mit Hörverstehen über die Marke Nike. 		Aprenda el vocabulario clave de "branding" con esta lección. También hay una actividad de escucha sobre la marca Nike.																		SUPPORT DE COURS
44	Describing workers	Beschreibung der  Arbeitnehmer		Describir a los trabajadores	This lesson is a great way to develop your ability to talk about people’s personality and character traits at work. The lesson presents a variety of adjectives for describing qualities and flaws, as well as additional expressions for describing typical office personalities.	Diese Lektion ist bestens geeignet, um Ihre Fähigkeit zu entwickeln, über den Charakter von Menschen am Arbeitsplatz zu sprechen. Die Lektion stellt eine Vielzahl an Adjektiven vor, um Stärken und Schwächen zu beschreiben sowie zusätzliche Ausdrücke, um typische Charaktertypen im Büro zu beschreiben. 		Esta lección es un excelente vehículo para desarrollar su capacidad para hablar sobre la personalidad y los rasgos de carácter de las personas en el trabajo. La lección presenta una variedad de adjetivos para describir cualidades y defectos, así como expresiones adicionales para describir personalidades típicas de la oficina.																		SUPPORT DE COURS
27	Common expressions in business	Gebräuchliche Ausdrücke  im Geschäftsleben		Expresiones comunes de negocios	Ten common expressions used in spoken English.	Zehn übliche Ausdrücke, die im gesprochenen Englisch verwendet werden. 		Diez expresiones comunes utilizadas en el inglés hablado.																		SUPPORT DE COURS
