ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES	MAPPING !!!!!!
596	Elementary review 3				In this lesson you will review the vocabulary and grammar the present continuous, prepositions of place, asking for directions, parts of the body, food vocabulary, transport vocabulary, some/any, and forming questions.	In dieser Stunde werden Sie Vokabeln und Grammatik wiederholen: das present continuous, Präpositionen  des Ortes, Fragen nach dem Weg, Körperteile, Vokabeln zu Lebensmitteln, Vokabeln zu Transportmitteln,  some/any und das Bilden von Fragen.			
597	Elementary review 4				In this lesson you will review the vocabulary and grammar much/many/a few/a little, at the supermarket, expressions for buying clothes, going to + infinitive, comparative/superlative forms and adverbs.	In dieser Stunde werden Sie Vokabeln und Grammatik wiederholen: much/many/a few/a little, im Supermarkt, Ausdrücke für den Kleiderkauf, going to + infinitive, Komperativ-/Superlativformen und Adverbien.			
598	Elementary review 5				In this lesson you will review the vocabulary and grammar cinema/movie vocabulary, travel verbs, basic phrasal verbs, infinitive of purpose, will + infinitive, imperative forms and basic uses of the present perfect.	In dieser Stunde werden Sie Vokabeln und Grammatik wiederholen: Vokabeln zu Kino/Filme, Verben des Reisens,  grundlegende Phrasalverben, Infinitiv der Absicht, will + infinitive, Imperativformen und grundlegende  Verwendungen des present perfect.			
	LEVEL B1 - GRAMMAR POINTS								
640	Asking questions				This simple lesson is designed to build confidence when using question structures. 	Diese einfache Lektion soll die Sicherheit im Umgang mit Fragekonstruktionen fördern. 			
685	Asking questions (business version)				This business English version of our lesson Asking questions is designed to build confidence when using question structures.	Diese Business-Englisch-Version unserer Lektion "Asking questions" soll das Vertrauen in die Verwendung von Fragekonstruktionen stärken.			
654	First conditional review				In this lesson you will review the first conditional structure.	In dieser Stunde werden Sie die Bildung des "first conditional" wiederholen.			
600	Future review				In this video-aided lesson you will review the structures <b>going to</b>, <b>will</b> and the <b>present continuous</b> for talking about the future.	In dieser videogestützten Stunde werden Sie die Strukturen <b>going to</b>, <b>will</b> und das <b>present continuous</b> wiederholen um über die Zukunft zu sprechen.			
686	Future review (business version)				In this video-aided lesson you will review the structures going to, will and the present continuous for talking about the future. 	In dieser videogestützten Stunde werden Sie die Strukturen going to, will und das present continuous wiederholen um über die Zukunft zu sprechen.			
663	Just/Already/Yet				In this lesson you will learn the meaning of just, already and yet, and how to use them with the present perfect. There are text-based and visual exercises. 	In dieser Stunde werden Sie die Bedeutung von just, already und yet lernen und wie man sie im  present perfect anwendet. Es gibt textbasierte und visuelle Übungen. 			
667	New Year questions				This lessonis designed to build confidence when using question structures. 	Diese Lektion soll die Sicherheit im Umgang mit Fragekonstruktionen stärken. 			
628	Numbers				In this lesson practise using numbers in the different ways that we work with them every day. Activities cover objects with numbers, dates, fractions and percentages and weights. 	In dieser Stunde werden Sie den Umgang mit Zahlen in den verschiedenen Formen, in denen wir täglich mit ihnen arbeiten, lernen. Die Aktivitäten umfassen Objekte mit Zahlen, Daten, Brüche, Prozentsätze und Gewichte. 			
688	Past review (business version)				In this business English version of our video-aided lesson plan Past review, review the past simple and past continuous tenses. 	In dieser Business-Englisch-Version unseres videogestützten Lehrplans past review wiederholen Sie die  Zeitformen past simple und past continuous. 			
629	Prepositions of movement				In this lesson you will study prepositions of movement and practise how to use them. The worksheet contains both visual and written activities.	In dieser Stunde werden Sie Bewegungspräpositionen kennenlernen und üben, wie man sie verwendet.  Das Arbeitsblatt enthält sowohl visuelle als auch schriftliche Aktivitäten.			
636	Present perfect practice				In this lesson plan you will study the past simple and past participle forms of common irregular verb and practise the present perfect with 'since', 'for', 'ever' and 'never'.	In dieser Stunde werden Sie das past simple und das past participle von häufigen unregelmäßigen Verben  lernen und das present perfect mit "since", "for", "ever" und "never" üben.			
691	Present perfect practice (business version)				In this business English version of our lesson Present perfect practice,  study the past simple and past participle forms of common irregular verb and practise the present perfect with 'since', 'for', 'ever' and 'never'.	In dieser Business-Englisch-Version unserer Lektion "present perfect practice" werden Sie das past simple und  das past participle von häufigen unregelmäßigen Verben lernen und das present perfect mit "since", "for", "ever"  und "never" üben.			
637	Present review				In lesson you will review the present simple and present continuous tenses. 	In dieser Lektion werden Sie die Zeitformen "present simple" und "present continuous" wiederholen.			
692	Present review (business version)				In this business English version of our video-aided lesson plan Present review, review the present simple and present continuous tenses. 	In dieser Business-Englisch-Version unserer videogestützten Lektion "present review" werden Sie die Zeitformen  present simple und present continuous wiederholen.			
677	So do I!				In this lesson you will learn how to use the phrases 'so do I' and 'neither do I.'  The lesson ends with a dialogue between two friends talking about a movie they just saw.	In dieser Stunde werden Sie lernen, wie man die Ausdrücke "so do I" und "neither do I" verwendet. Die Stunde endet  mit einem Dialog zwischen zwei Freunden, die sich über einen Film unterhalten, den sie gerade gesehen haben. 			
	LEVEL B2 - GRAMMAR POINTS								
592	-ed/-ing adjectives				In this grammar and vocabulary lesson learn the difference between -ed and -ing adjectives, and practise how to use them.	In dieser Grammatik- und Vokabellektion lernen Sie den Unterschied zwischen Adjektiven mit den Endungen -ed und -ing kennen und üben, wie man sie verwendet.			
639	Adjectives and prepositions				In this lesson you will practise using a number of common adjectives with prepositions. 	In dieser Stunde werden Sie die Verwendung von einer Reihe von gängigen Adjektiven mit Präpositionen üben. 			
593	Adjectives vs. adverbs				In this lesson practise using adjectives and adverbs with text and visual-based activities.  	In dieser Lektion üben Sie die Verwendung von Adjektiven und Adverbien mit Hilfe von Texten und visuellen Übungen.  			
643	Bucket lists				In this lesson you will discuss buckets lists. Practice phrases to talk about bucket list items, and how to respond to someone else's suggestions. There is also a picture activity on popular bucket list items in the UK, a grammar exercise on <b>wish + could + infinitive,</b>.	In dieser Stunde werden Sie "bucket lists" besprechen. Üben Sie Redewendungen, um über Dinge zu sprechen,  die auf der Liste stehen, und wie Sie auf die Vorschläge anderer Personen reagieren können. Außerdem gibt es eine  Bildaktivität zu beliebten Ausflugszielen im Vereinigten Königreich und eine Grammatikübung zu  <b>wish + could + infinitive</b>.			
645	Common expressions 1				This short lesson filler teaches common social expressions that English speakers use in a variety of situations, including <i>be careful, bless you, congratulations, cheers, good luck, never mind</i>, etc. 	Diese kurze Lektion lehrt gängige gesellschaftliche Ausdrücke, die Englischsprachige in einer Vielzahl von Situationen  verwenden, darunter <i>be careful, bless you, congratulations, cheers, good luck, never mind </i>, etc.			
646	Common expressions 2				This lesson teaches common social expressions that English speakers use in a variety of situations, including <i>by all means, calm down, get well soon, what a pity, get well soon, it doesn’t matter</i>, etc. 	Diese kurze Lektion lehrt gängige soziale Ausdrücke, die Englischsprachige in einer Vielzahl von Situationen verwenden,  darunter <i>by all means, calm down, get well soon, what a pity, it doesn't matter</i>, etc.			
647	Common expressions with -ing				In this lesson you will study a number of common expressions that are following by the gerund (-ing), including have a good/hard time + -ing, have fun + -ing, have a problem + -ing, have difficulty + -ing, etc.	In dieser Stunde werden Sie eine Reihe von gebräuchlichen Ausdrücken lernen, auf die das Gerundium (-ing) folgt,  darunter have a good/hard time + -ing, have fun + -ing, have a problem + -ing, have difficulty + -ing, etc.			
648	Comparatives and superlatives				In this lesson you will learn how to form and use the <b>comparative</b> and <b>superlative</b> forms of adjectives and adverbs. 	In dieser Stunde werden Sie lernen wie man die <b>vergleichende</b> und <b>superlative</b> Form von Adjektiven und Adverbien bildet und anwendet.			
649	Complex prepositions				This lesson plan presents a number of complex prepositions -- phrases that consist of more than one word and have the same function as single-word prepositions. The worksheet is suitable for both classroom practice and self-study.	In dieser Stunde werden eine Reihe komplexer Präpositionen vorgestellt - Sätze, die aus mehr als einem Wort bestehen  und dieselbe Funktion haben wie Präpositionen mit einem Wort. Das Arbeitsblatt eignet sich sowohl für das Üben im  Unterricht als auch für das Selbststudium.			
650	Conjunctions				In this lesson you will study and practise the use of <b>conjunctions</b> for linking sentence clauses. 	In dieser Stunde werden Sie die Verwendung von <b>Konjunktionen</b> zur Verbindung von Satzgliedern  lernen und üben. 			
651	Dependent prepositions				In this lesson you will practise using dependent prepositions with nouns, verbs and adjectives. The lesson also helps to reinforce grammar from ‘adjectives and prepositions’.	In dieser Stunde werden Sie die Verwendung abhängiger Präpositionen mit Nomen, Verben und Adjektiven üben.  Die Lektion hilft auch, die Grammatik der Lektion"adjectives and prepositions" zu festigen.			
652	Direct and indirect questions				This worksheet presents and compares <b>direct questions</b> and <b>indirect questions</b>. 	Auf diesem Arbeitsblatt werden <b>direkte Fragen</b> und <b>indirekte Fragen</b> vorgestellt und verglichen. 			
653	First and second conditional				This lesson presents and compares the <b>first conditional</b> and <b>second conditional</b> structures for talking about possible and imaginary situations. 	In dieser Lektion werden die Strukturen des <b>first conditional</b> und <b>second conditional</b> vorgestellt  und verglichen, um über mögliche und imaginäre Situationen zu sprechen. 			
655	Future continuous				In this lesson you will study and practise the use of the future continuous tense. 	In dieser Stunde lernen und üben Sie die Verwendung der Zeitform future continuous. 			
599	Future perfect				This lesson presents the <b>future perfect</b> tense. Both <b>future perfect simple</b> and <b>future perfect continuous</b> forms are studied and practised. 	In dieser Stunde wird die Zeitform <b>future perfect</b> vorgestellt. Die Bildung beider Zeitformen <b>future perfect  simple</b> und <b>future perfect continuous</b> werden studiert und geübt.			
656	Future plans and decisions: present continuous/will/going to				In this lesson you will study and practise basic grammatical structures for talking about future plans and decisions – the present continuous, <i>will</i> + infinitive and <i>going to</i> + infinitive. 	In dieser Stunde werden Sie grundlegende grammatikalische Strukturen lernen und üben, um über zukünftige Pläne und  Entscheidungen zu sprechen - das present continuous, <i>will</i> + infinitive und <i>going to</i> + infinitive.			
657	Have-get something done				In this lesson you will study and practise the structures <b>have something done</b> and <b>get something done</b>. 	In dieser Stunde werden Sie die Konstruktionen <b>have something done</b> und <b>get something done</b>  lernen und üben.			
660	I wish/If only				This lesson presents the structures <b>I wish ...</b> and <b>If only ...</b> for talking about situations that someone regrets or would like to be different in the past, present or future. 	In dieser Lektion werden die Konstruktionen <b>I wish ...</b> und <b>If only ...</b> vorgestellt um über um über Situationen  zu sprechen, die jemand bedauert oder die man in der Vergangenheit, Gegenwart oder Zukunft gerne anders erlebt hätte. 			
661	Infinitive clauses				In this lesson you will learn how to use infinitive clauses in sentences.	In dieser Lektion lernen Sie, wie man Infinitivsätze in Sätzen verwendet.			
601	Modal verbs 1 - Ability				This lesson presents modal verbs and structures used for talking about ability. The structures <b>can</b>/<b>can’t</b>, <b>be able to</b> and <b>managed to</b> are studied and practised. 	In dieser Stunde werden Modalverben und Konstruktionen vorgestellt um über Fähigkeiten zu sprechen. Die Konstruktionen <b>can</b>, <b>can't</b>, <b>be able to</b> und <b>managed to</b> werden studiert und geübt.			
626	Modal verbs 2 – Obligation/Necessity/Prohibition/Advice				This lesson presents modal verbs used for talking about obligation, necessity and prohibition as well as for giving advice. The present forms of the modal verbs <b>must</b>, <b>have to</b>, <b>need to</b>, <b>needn’t</b> and <b>should</b> are studied and practised. 	In dieser Lektion werden Modalverben vorgestellt, mit denen man über Verpflichtungen, Notwendigkeiten und Verbote  sprechen, sowie Ratschläge geben kann. Die Gegenwartsformen der Modalverben <b>must</b>, <b>have to</b>,  <b>need to</b>, <b>needn't<b> und <b>should</b> werden studiert und geübt.			
627	Modal verbs 3 – Possibility and expectation				This lesson presents modal verbs used for talking about things that are possible, certain or expected. The present forms of the modal verbs <b>must</b>, <b>can’t</b>, <b>could</b>, <b>may</b>, <b>might</b> and <b>should</b> are studied and practised. 	In dieser Stunde werden Modalverben vorgestellt, mit denen man über Dinge spricht, die möglich, sicher oder erwartet sind.   Die Gegenwartsformen der Modalverben <b>must</b>, <b>can't</b>, <b>could</b>, <b>may</b>, <b>might</b> und  <b>should</b> werden studiert und geübt.			
602	Modal verbs 4 – Requests/Offers/Permission/Invitations				This lesson presents modal verbs and structures used for making requests and offers, asking for and giving permission as well as making invitations. The modal verbs <b>can</b>, <b>could</b>, <b>may</b>, <b>would</b>, <b>will</b> and <b>shall</b> are studied and practised. 	In dieser Stunde werden Modalverben und Strukturen vorgestellt, die für Bitten und Angebote, für das Erfragen und Erteilen  von Erlaubnis sowie für Einladungen verwendet werden.			
603	Modal verbs 5 – Past forms				This lesson presents the <b>past forms</b> of modal verbs used for talking about obligation, prohibition, necessity, advice, certainty, possibility and expectation. 	In dieser Stunde werden die <b>Vergangenheitsformen</b> von Modalverben vorgestellt, die verwendet werden, um über  Verpflichtung, Verbot, Notwendigkeit, Rat, Gewissheit, Möglichkeit und Erwartung zu sprechen. 			
604	Nouns 1: Countable and uncountable				In this lesson you will study and practise the use of countable and uncountable nouns with <i>a/an, the, some,</i> etc.	In dieser Lektion werden Sie die Verwendung von zählbaren und unzählbaren Substantiven mit <i>a/an, the, some</i> etc.  lernen und üben.			
605	Nouns 2: Special omissions of the definite article				In this lesson you will study and practise special omissions of the article ‘the’ before nouns such as <i>lunch, school, hospital, work,</i> etc.	In dieser Stunde werden Sie die spezielle Auslassungen des Artikels "the" vor Substantiven wie <i>lunch, school, hospital,  work</i>, etc. lernen und üben.			
606	Nouns 3: Talking in general				In this lesson you will study and practise the use and omission of the article ‘the’ before nouns when talking in general. 	In dieser Lektion werden Sie den Gebrauch und das Weglassen des Artikels "the" vor Substantiven, wenn Sie im Allgemeinen  sprechen, lernen und üben. 			
607	Nouns 4: Use of articles with proper nouns				In this lesson, students study and practise the use and omission of the article ‘the’ before the names of people, places, buildings, organisations and institutions. The worksheet is suitable for both classroom practice and self-study.	In dieser Stunde lernen und üben die Schüler den Gebrauch und das Weglassen des Artikels "the" vor den Namen von  Personen, Orten, Gebäuden, Organisationen und Institutionen. Das Arbeitsblatt eignet sich sowohl für das Üben im Unterricht  als auch für das Selbststudium.			
608	Past perfect 1				This lesson presents the main uses of the <b>past perfect</b> tense as well as the difference between the <b>past perfect</b> and <b>present perfect</b>. 	In dieser Lektion werden die wichtigsten Verwendungszwecke des <b>past perfect</b> , sowie der Unterschied zwischen dem <b>past perfect</b> und <b>present perfect</b> vorgestellt.			
609	Past perfect 2				This lesson looks at the differences between the <b>past perfect simple</b> and <b>past perfect continuous</b>. 	Diese Stunde befasst sich mit dem Unterschiede zwischen dem <b>past perfect simple</b> und dem  <b>past perfect continuous</b>.			
689	Past simple vs. continuous				In this lesson you will study and practise the basic differences between the past simple and past continuous. All of the examples of use are in a business English context. 	In dieser Stunde werden Sie die grundlegenden Unterschiede zwischen dem past simple und dem past continuous lernen  und üben. Alle Verwendungsbeispiele stehen im Kontext des Business-Englisch. 			
610	Past simple vs. past continuous				In this lesson you will study and practise the differences between the past simple and past continuous. 	In dieser Stunde werden Sie die Unterschiede zwischen dem past simple und dem past continuous lernen und üben. 			
611	Phrasal verbs 1				This lesson teaches 17 common phrasal verbs by presenting them in context. Also watch a video that talks about 50 phrasal verbs.	In dieser Stunde werden Sie 17 gebräuchliche Phrasalverben lernen, indem Sie sie im Kontext präsentieren.  Sehen Sie sich auch ein Video an, das 50 Phrasalverben behandelt.			
612	Phrasal verbs 2				The lesson presents 15 common phrasal verbs.	In dieser Stunde werden 15 gebräuchliche Phrasalverben vorgestellt.			
613	Phrasal verbs 3				Learn 18 new phrasal verbs. 	Lernen Sie 18 neue Phrasalverben.			
617	Preposition to + -ing				In this lesson practise using the gerund (-ing) form after the preposition `to' in certain phrases and phrasal verbs.	In dieser Stunde werden Sie die Verwendung der Gerundiumform (-ing) nach der Präposition "to" in bestimmten Sätzen und  Phrasalverben üben.			
630	Prepositions of movement: to/into/in/at				This lesson covers the different uses of the prepositions of movement <b>to</b>, <b>into</b>, <b>in</b> and <b>at</b>. 	Diese Lektion behandelt die verschiedenen Verwendungen der Bewegungspräpositionen <b>to</b>, <b>into</b>, <b>in</b>  und <b>at</b>.			
631	Prepositions of place: at/in/on				This lesson covers the different uses of the prepositions of place <b>at</b>, <b>in</b> and <b>on</b>. 	Diese Lektion behandelt die verschiedenen Verwendungen der Ortspräpositionen <b>at</b>, <b>in</b> und <b>on</b>. 			
632	Prepositions of time: at/in/on				This lesson covers the different uses of the prepositions of time <b>at</b>, <b>in</b> and <b>on</b>. 	Diese Lektion behandelt die verschiedenen Verwendungen der Zeitpräpositionen <b>at</b>, <b>in</b> und <b>on</b>. 			
633	Prepositions of time: for/during/while				This lesson covers the different uses of the prepositions of time <b>for</b>, <b>during</b> and <b>while</b>. 	Diese Lektion behandelt die verschiedenen Verwendungen der Zeitpräpositionen <b>for</b>, <b>during</b> und  <b>while</b>.  			
634	Prepositions of time: from/since/for				This lesson covers the different uses of the prepositions of time <b>from</b>, <b>since</b> and <b>for</b>. 	Diese Lektion behandelt die verschiedenen Verwendungen der Zeitpräpositionen <b>from</b>, <b>since</b> und  <b>for</b>. 			
635	Prepositions: uses of by				This lesson covers the different uses of the preposition <b>by</b>.	Diese Lektion behandelt die verschiedenen Verwendungen der Präposition <b>by</b>.			
618	Present perfect 1				In this lesson you will study and practise the main uses of the present perfect as well as differences between the present perfect and past simple. 	In dieser Stunde werden Sie die wichtigsten Verwendungen des present perfect sowie die Unterschiede zwischen dem  present perfect und dem past simple lernen und üben. 			
619	Present perfect 2				In this lesson you will study and practise the differences between the present perfect simple and present perfect continuous. 	In dieser Stunde werden Sie die Unterschiede zwischen dem present perfect simple und dem present perfect continuous  lernen und üben. 			
693	Present simple vs. continuous				In this lesson you will study and practise the basic differences between the present simple and present continuous. All of the examples of use are in a Business English context. 	In dieser Lektion werden Sie die grundlegenden Unterschiede zwischen dem present simple und dem present continuous  lernen und üben. Alle Anwendungsbeispiele stehen im Zusammenhang mit Business-Englisch. 			
638	Present simple vs. present continuous				In this lesson you will study and practise the basic differences between the past simple and past continuous. All of the examples of use are in a business English context. 	In dieser Stunde werden Sie die grundlegenden Unterschiede zwischen dem past simple und dem past continuous lernen und üben.  Alle Anwendungsbeispiele stehen im Zusammenhang mit Business-Englisch. 			
670	Quantifiers				In this lesson you will learn how to use quantifiers such as much, many, most, both, all, plenty, a lot, a few, a little, etc. 	In dieser Stunde werden Sie lernen, wie man Mengenbezeichnungen wie much, many, most, both, all, plenty, a lot, a few,  a little, etc. anwendet.			
671	Question tags				In this lesson you will study the use of question tags for inviting agreement, asking questions and making suggestions.	In dieser Stunde werden Sie die Verwendung von Frageanhängern lernen, um Zustimmung zu erbitten, Fragen zu stellen  und Vorschläge zu machen.			
673	Reflexive pronouns				In this lesson you will learn how to use reflexive pronouns in everyday English. 	In dieser Lektion lernen Sie, wie man Reflexivpronomen im Alltagsenglisch verwendet. 			
674	Relative clauses 1				This lesson teaches <b>relative clauses</b> beginning with <b>who</b>, <b>which</b>, <b>where</b>, <b>that</b> and <b>whose</b>. 	In dieser Stunde lernen Sie <b>Relativsätze</b> kennen, die mit <b>who</b>, <b>which</b>, <b>where</b>, <b>that</b>  und <b>whose</b> beginnen.			
675	Relative clauses 2 - Extra information				This lesson presents the two types of relative clauses used in English – <b>relative clauses</b> that give <i>necessary information</i> and relative clauses that provide <i>extra information</i>. 	In dieser Lektion werden zwei Arten von Relativsätzen vorgestellt, die im Englischen verwendet werden - <b>Relativsätze</b>,  die <i>notwendige Informationen</i> liefern und Relativsätze, die <i>zusätzliche Informationen</i> liefern.			
678	Subject and object questions				This lesson teaches the two types of questions commonly used in English: <b>subject questions</b> and <b>object questions</b>. 	In dieser Lektion werden zwei Arten von Fragen gelehrt, die im Englischen häufig verwendet werden:  <b>Fragen nach dem Subjekt</b> und <b>Fragen nach dem Objekt</b>.			
620	Tense review 1				In this lesson review the present, past and present perfect tenses. 	In dieser Lektion werden die Zeitformen present, past und present perfect wiederholt. 			
621	Tense review 2				In this lesson review the structures 'will + infinitive', 'going to + infinitive', 'used to + infinitive' and the past perfect tense. 	In dieser Stunde werden die Konstruktionen "will + infinitive", "going to + infinitive", "used to + infinitive" und das  past perfect wiederholt.			
679	The English subjunctive				In this lesson you will study the present and past subjunctive mood for expressing imagined and improbable situations. Note that the subjunctive is a special verb form in English and is often substituted by more simple structures in modern English. 	In dieser Stunde lernen Sie den Konjunktiv der Gegenwart und der Vergangenheit kennen, um imaginäre und  unwahrscheinliche Situationen auszudrücken. Beachten Sie, dass der Konjunktiv im Englischen eine besondere Verbform ist  und im modernen Englisch oft durch einfachere Strukturen ersetzt wird. 			
622	The passive				In this lesson you will study the structure and use of passive voice. 	In dieser Lektion lernen Sie die Bildung und den Gebrauch des Passivs kennen. 			
681	Third conditional				This lesson presents the <b>third conditional</b> for talking about hypothetical or imaginary situations in the past. 	In dieser Stunde wird das <b>third conditional</b> vorgestellt um über hypothetische oder imaginäre Situationen  in der Vergangenheit zu sprechen. 			
682	Used to do vs. be/get used to doing				This lesson presents and compares the structures <b>be </b>/ <b>get used to doing </b> and <b>used to </b>/ <b>didn’t use to do </b>.	In dieser Stunde werden die Strukturen <b>be</b> / <b>get used to doing</b> und <b>used to</b> / <b>didn't used to</b>  vorgestellt und verglichen.			
623	Verb + -ing or to				In this lesson you will study when to use the infinitive and gerund (-ing) forms in two-verb structures. 	In dieser Lektion werden Sie lernen, wann Sie den Infinitiv und das Gerundium (-ing) in Zwei-Verb-Strukturen verwenden. 			
624	Word order 1 - Object/Time/Place				In this lesson, the basic rules for ordering words in an English sentence are studied. The order of the <b>object</b>, <b>time</b> and <b>place</b> is presented and practised. 	In dieser Stunde werden die Grundregeln für die Anordnung von Wörtern in einem englischen Satz gelernt.  Die Reihenfolge des <b>Objekts</b>, der <b>Zeit</b> und des <b>Ortes</b> werden vorgestellt und geübt.			
625	Word order 2 - Verb + adverb				In this lesson, the <b>word order</b> of <b>verbs</b> and <b>adverbs</b> in an English sentence is studied.	In dieser Stunde wird die <b>Wortfolge</b> von <b>Verben</b> und <b>Adverben</b> in einem englischen Satz gelernt.			
	LEVEL C - GRAMMAR POINTS								
644	Common exclamations				This lesson introduces eight typical exclamations used by English speakers to express a variety of emotions. 	In dieser Lektion werden acht typische Ausrufe vorgestellt, die von Englischsprachigen verwendet werden,  um eine Vielzahl von Emotionen auszudrücken. 			
