ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES
188	At a hotel	Im Hotel		En el hotel	In this lesson you will learn how to book a hotel room and check in at a hotel.	In dieser Lektion werden sie lernen, wie man ein Hotelzimmer bucht und wie man in einem Hotel eincheckt. 		En esta lección, aprenderá cómo registrarse en un hotel y cómo reservan una habitación.
379	On holiday	Im Urlaub		De vacaciones	This lesson introduces elementary students to the present continuous. The target language is presented in a dialogue and there are several activities in which you can practise the new structure. The worksheet also presents expressions for describing typical holiday/vacation activities and revises language from other lessons, e.g. Free time and What’s the weather like?	Diese Lektion stellt den Lernenden das Präsenz vor. Die Zielsprache wird in einem Dialog eingeführt und es gibt verschiedene Aufgaben, in denen die neue Struktur geübt werden kann. Das Arbeitsblatt präsentiert auch Wendungen im Präsenz, um typische Urlaubsaktivitäten zu beschreiben und wiederholt die Sprache von anderen Lektionen, wie zum Beispiel Freizeit oder Wie ist das Wetter? 		Esta lección introduce a los estudiantes principiantes al presente continuo. El idioma destino se presenta en un diálogo y hay varias actividades en las que puede practicar la nueva estructura. La hoja de trabajo también presenta expresiones para describir las actividades típicas de vacaciones y revisa el lenguaje de otras lecciones, como por ejemplo las de "Tiempo libre" y "¿Cómo está el clima?"
162	A city break	Ein Städtetrip		De viaje a la ciudad	In this lesson you will learn and practice vocabulary to talk about a city break. Exercises cover places to go, what to pack and how to get around a city. There is a also a grammar activity on there was/there were, in which you can complete a conversation in a messaging app.	In dieser Lektion werden sie Wortschatz über einen Städtetrip lernen und üben. Die Übungen decken Orte ab, die man besuchen kann, was man für die Stadtbesichtigung einpacken sollte und wie man sich in der Stadt fortbewegt. Es gibt auch eine Aufgabe zur Grammatik über there was/there were, in der man ein Gespräch in einer  Nachrichten App ergänzen soll. 		En esta lección, aprenderá y practicará vocabulario para hablar sobre una escapada a la ciudad. Los ejercicios cubren los lugares adonde ir, qué empacar y cómo moverse por la ciudad. También hay una actividad gramatical sobre "there was" / "there were", en la que puede completar una conversación en una aplicación de mensajería.
167	A night out	Abends ausgehen		Salida	In this lesson you will learn words and phrases connected with nights out. There are exercises on places to go, what to wear, and questions to ask people about a night out. The lesson finishes with a dialogue with two girls chatting on a night out.	In dieser Lektion werden sie Wörter und Wendungen zum Thema Ausgehen lernen. Es gibt Übungen über Orte, an die man gehen kann, was man anziehen kann, und darüber, was man Leute fragen kann, wenn man gern mit ihnen ausgehen möchte. Die Lektion endet mit einem Dialog, in dem zwei Mädchen sich über ihre Pläne unterhalten abends auszugehen. 		En esta lección, aprenderá palabras y frases relacionadas con las salidas nocturnas. Hay ejercicios sobre a qué lugares ir, qué ponerse y qué preguntar  a la gente sobre una salida nocturna. La lección termina con un diálogo entre dos chicas en una salida.
189	At a restaurant	Im Restaurant		En el restaurante	In this lesson you will learn how to order a meal at a restaurant.	In dieser Lektion werden sie lernen, wie man in einem Restaurant etwas zu essen bestellt. 		En esta lección, aprenderá a ordenar comida en un restaurante.
190	At a supermarket	Im Supermarkt		En el supermercado	In this lesson you will learn useful words and expressions that you can use when shopping in a supermarket.	In dieser Lektion werden sie nützliche Wörter und Wendungen lernen, die man beim Einkaufen im Supermarkt verwenden kann. 		En esta lección, aprenderá palabras y expresiones útiles que puede usar al hacer compras en un supermercado.
192	At the cinema	Im Kino		En el cine	This worksheet presents basic cinema vocabulary and gets students talking about films using simple, understandable sentences	Dieses Arbeitsblatt stellt grundlegenden Wortschatz zum Thema Kino vor und motiviert die Schüler dazu, über Filme zu reden und dabei einfache, verständliche Sätze zu formulieren. 		Esta hoja de trabajo presenta vocabulario básico de cine e invita a los estudiantes a hablar sobre películas usando oraciones simples y comprensibles.
488	The body	Der Körper		El cuerpo	In this lesson you will learn key vocabulary for describing parts of the body, body actions and the five senses. Basic knowledge of the present continuous as well as verbs of liking/disliking is assumed.	In dieser Lektion werden sie Schlüsselwortschatz zum Beschreiben von Körperteilen, körperlichen Aktivitäten und den fünf Sinnen lernen. Ein Grundverständnis des present continuous sowie Verben, die eine Vorliebe oder eine Abneigung ausdrücken, wird dabei vorausgesetzt. 		En esta lección, aprenderá vocabulario clave para describir partes del cuerpo, acciones corporales y los cinco sentidos. Esta lección requiere el conocimiento básico del presente continuo así como los verbos de "liking"/"disliking" (-no- gustar).
313	Good advice	Guter Rat		Un buen consejo	In this lesson you will read some simple money-saving tips and learn the positive and negative imperative forms.	In dieser Lektion werden sie über ein paar Ratschläge zum Geldsparen lesen und die Imperativform sowie deren Verneinung lernen. 		En esta lección leerá algunos consejos sencillos para ahorrar dinero y aprenderá el modo imperativo afirmativo y negativo.
527	Visiting the doctor	Beim Arzt		Visita al doctor	In this dialogue-aided lesson you will learn how to describe a number of typical medical ailments, symptoms and treatments. The lesson includes two simple doctor-patient dialogues. A basic knowledge of the present simple, present continuous and past simple tenses is assumed.	In dieser dialoggestützten Lektion werden sie lernen, einige der typischen gesundheitlichen Beschwerden, Symptome und Behandlungen zu beschreiben. Die Lektion beinhaltet zwei einfache Doktor-Patientengespräche. Ein Grundverständnis des present simple, present continuous und der past simple Zeiten wird vorausgesetzt. 		En esta lección, con ayuda de un diálogo, aprenderá a describir una serie de dolencias, síntomas y tratamientos médicos típicos. La lección incluye dos diálogos sencillos entre médico y paciente. La lección requiere de un conocimiento básico del presente simple, presente continuo y pasado simple.
176	Achievement	Erfolge		Logro	In this lesson you will practice forming sentences and questions in the present perfect simple, as well as learn some common irregular past participle forms. The worksheet includes a text about Brad Pitt and rounds off with a 'Find someone who ...' activity.	In dieser Lektion werden sie üben, Sätze und Fragen im present perfect simple zu formulieren sowie einige gebräuchliche unregelmäßige Verbformen des past participle lernen. Das Arbeitsblatt beinhaltet einen Text über Brad Pitt und wird mit einer "Finde jemanden, der..." Aufgabe abgerundet. 		En esta lección, practicarás la formación de oraciones y preguntas en presente perfecto simple. También aprenderás algunos de los participios irregulares más comunes. La hoja de trabajo incluye un texto sobre Brad Pitt y culmina con una actividad del tipo "Encuentra a alguien que...".
483	Telling the time	Die Uhrzeit		La hora	In this lesson you will learn how to tell the time and practise basic numbers.	In dieser Lektion werden sie lernen, wie sie Auskunft über die Uhrzeit geben können und gleichzeitig Zahlen üben.		En esta lección, aprenderá a decir la hora y a practicar los números básicos.
345	Jobs and routines	Arbeitsleben und Routinen		Trabajos y rutinas	In this lesson, the names of various jobs are introduced, and you will learn how to speak about your daily routines using the present simple. The present simple affirmative and question forms are presented.	In dieser Lektion werden verschiedene Berufsbezeichnungen eingeführt und sie werden lernen über tägliche Routinen zu sprechen und dabei das present simple benutzen. Das present simple affirmative und die Frageformen werden vorgestellt. 		En esta lección, se presentan los nombres de varios trabajos. Aprenderá a hablar sobre sus rutinas diarias utilizando el presente simple. Se presentan también las formas afirmativas e interrogativas del presente simple.
304	Free time	Freizeit		Hora libre	In this lesson you will learn vocabulary for typical leisure time activities. The worksheet also presents adverbs of frequency (never, rarely, sometimes, often, etc.) as well as once/twice/three times a week/month/year. There are lots of How often ...? questions.	In dieser Lektion werden sie Wortschatz für typische Freizeitaktivitäten lernen. Das Arbeitsblatt stellt sowohl Häufigkeitsadverbien (nie, selten, manchmal, oft, etc.) als auch die Zeitangaben einmal/zweimal/drei Mal pro Woche/Monat/Jahr vor. Es gibt viele 'Wie oft...?' Fragen. 		En esta lección, aprenderá vocabulario para actividades típicas de tiempo libre. La hoja de trabajo también presenta adverbios de frecuencia (nunca, rara vez, a veces, a menudo, etc.) así como una / dos / tres veces a la semana / al mes / al año. Hay muchas preguntas del tipo "¿Con qué frecuencia ...?".
187	Asking for directions	Nach dem Weg fragen		Pidiendo indicaciones	In this lesson you will learn how to ask for and give directions. There is a role play activity at the end of the worksheet	In dieser Lektion werden sie lernen, wie man nach dem Weg fragt und wie man eine Wegbeschreibung macht. Es gibt ein Rollenspiel am Ende des Arbeitsblattes.		En esta lección aprenderá a pedir y a dar instrucciones. Hay una actividad de simulación al final de la hoja de trabajo.
513	Transport	Öffentliche Verkehrsmittel		Transporte	In this lesson you will learn vocabulary related to public transport as well as practical expressions to use at a train station, in a taxi and at an airport check-in desk. The lesson plan includes a listening activity with the option to play animated video clips representing the different transport situations.	In dieser Lektion werden sie Wortschatz für die öffentlichen Verkehrsmittel sowie praktische Wendungen zum Gebrauch am Bahnhof, in einem Taxi oder am Check-in im Flughafen lernen. Der Stundenentwurf sieht eine Hörverstehensaufgabe vor mit der Möglichkeit, animierte Video Clips mit verschiedenen Situationen in den Verkehrsmitteln anzusehen. 		En esta lección, aprenderá vocabulario relacionado con el transporte público, así como expresiones prácticas para usar en una estación de tren, en un taxi y en la recepción del aeropuerto. El plan de la lección incluye una actividad de escucha con la opción de reproducir videoclips animados que representan las diferentes situaciones de transporte.
208	Birthdays and parties	Geburtstage und Partys		Cumpleaños y fiestas	In this lesson you will learn and practice party vocabulary. There are activities on what you find at a party, what happens before a party plus an activity on birth dates to revise ordinal numbers and the future with ‘will + infinitive’.	In dieser Lektion werden sie Party Wortschatz lernen und anwenden. Es gibt Aufgaben über typische Partysituationen, was vor einer Party passiert und außerdem noch eine Aufgabe über Geburtsdaten um die Ordnungszahlen und das will-future (+ Infinitiv) zu wiederholen. 		En esta lección, aprenderá y practicará vocabulario relacionado a fiestas. Hay actividades sobre lo que encuentras y lo que sucede previamente a una de ellas. También encontrará una actividad sobre las fechas de nacimiento para revisar los números ordinales y el futuro con "will + infinitive".
223	Christmas Day	Weihnachten		Navidad	In this lesson you will learn vocabulary connected with Christmas. Exercises cover typical Christmas things, presents, Christmas dinner and what people do on Christmas Day.	In dieser Lektion werden sie Weihnachtswortschatz lernen. Die Aufgaben erstrecken sich über typische Weihnachtsbräuche, Geschenke und das Weihnachtsessen bis zu dem, was Leute an Weihnachten tun. 		En esta lección aprenderá vocabulario relacionado con la Navidad. Los ejercicios cubren cosas típicas, regalos, cenas y actividades de esta festividad.
438	Social expressions	Redewendungen für den Alltag		Expresiones sociales	You will learn and practise some basic social expressions.	Sie werden einige grundlegende Redewendungen für den Alltag lernen und üben. 		Aprenderá y practicará algunas expresiones sociales básicas.
219	Celebrities	Berühmte Menschen		Celebridades	This lesson contains the past simple forms of regular verbs. The worksheet is based on a text about Michael Jackson.	Diese Lektion beinhaltet die past simple Formen von regelmäßigen Verben. Das Arbeitsblatt basiert auf einem Text über Michael Jackson. 		Esta lección contiene las formas pasadas simples de los verbos regulares. La hoja de trabajo se basa en un texto sobre Michael Jackson.
520	True or false	Wahr oder falsch		Verdadero o falso	In this lesson you will study the comparative form of adjectives and at the same time learn the names of different animals.	In dieser Lektion werden Sie den Komparativ der Adjektive und die Bezeichnungen von verschiedenen Tieren lernen. 		En esta lección, estudiará la forma comparativa de los adjetivos y, al mismo tiempo, aprenderá los nombres de diferentes animales.
331	In a clothes shop	Im Bekleidungsgeschäft		En la tienda de ropa	This lesson covers basic vocabulary for describing clothes as well as practical expressions for clothes shopping.	Diese Lektion deckt den grundlegenden Wortschatz, um Kleidung zu beschreiben ab. Außerdem werden sie praktische Wendungen lernen, um Kleidung zu kaufen. 		Esta lección incluye vocabulario básico para describir la ropa, así como expresiones prácticas para comprar ropa.
231	Clothes and colours	Kleidung und Farben		Ropa y colores	In this worksheet you will look at words for different items of clothing and learn how to describe different colours. There is also a grammar exercise on 'some', 'a/an' and 'any'.	In dieser Lektion werden sie Wortschatz für verschiedene Kleidungsstücke sehen und lernen, wie man verschiedene Farben beschreibt. Es gibt auch eine grammatische Aufgabe mit 'some', 'a/an' und 'any'.		En esta hoja de trabajo, encontrará palabras para diferentes prendas de vestir y aprenderá a describir diferentes colores. También hay un ejercicio de gramática sobre 'some', 'a / an' y 'any'.
215	Buying souvenirs	Souvenirs kaufen		Comprando recuerdos	In this lesson you will learn and use words for different souvenirs. Listen to a conversation between a tourist and a shop assistant, and practice buying souvenirs.	In dieser Lektion werden sie Wortschatz für verschiedene Souvenirs lernen und anwenden. Hören Sie sich eine Unterhaltung zwischen einem Touristen und einem Verkäufer an und üben sie dabei, Souvenirs zu kaufen. 		En esta lección aprenderá y usará palabras para diferentes souvenirs. Escuche una conversación entre un turista y un vendedor y practique cómo comprar tales objetos.
465	Sweet things	Süße Dinge		Cosas dulces	You will learn words and phrases related to sweet foods and practise how to use subject and object pronouns.	Sie werden Wörter und Wendungen für süße Gerichte lernen und wie man Subjekt oder Objektpronomen verwendet. 		Aprenderá palabras y frases relacionadas con los alimentos dulces y practicará cómo usar los pronombres de sujeto y objeto.
442	Something to eat	Etwas zu essen		Algo para comer	You will learn vocabulary for describing food and drink, as well as the use of countable and uncountable nouns with some and any. This lesson can be linked to Crazy hotels.	Sie werden Vokabeln lernen um Essen und Trinken zu beschreiben sowie die Verwendung der zählbaren und unzählbaren Nomen mit some und any. Diese Lektion kann mit der Lektion "Crazy hotels" kombiniert werden. 		Aprenderá vocabulario para describir comida y bebida, así como el uso de sustantivos contables e incontables con "some" y "any". Esta lección se puede vincular a la de "Hoteles de locos".
286	Extreme places	Extreme Orte		Lugares extremos	In this lessonyou will study the superlative form of adjectives by reading about the most 'extreme' places where people live.	In dieser Lektion werden sie den Superlativ von Adjektiven lernen, indem sie einen Text über die extremsten Orte lesen, an denen Menschen leben. 		En esta lección, estudiará la forma superlativa de los adjetivos leyendo sobre los lugares más "extremos" en los que la gente vive.
247	Cultural differences	Kulturelle Unterschiede		Diferencias culturales	In this lesson you will compare the behaviour and cultural habits of people from different countries. The structure and use of common adverbs is introduced and practised.	In dieser Lektion werden sie das Verhalten und die kulturellen Gewohnheiten von Menschen aus verschiedenen Ländern vergleichen. Die Struktur und der Gebrauch von üblichen Adverbien wird eingeführt und geübt. 		En esta lección, comparará el comportamiento y los hábitos culturales de personas de diferentes países. Se introduce y se practica la estructura y el uso de adverbios comunes.
413	Ready to travel	Bereit für die Reise		Listo para viajar	In this lesson you will learn how to use the infinitive for expressing purpose. The worksheet covers grammar including the past simple, question forms, going to + infinitive, etc.	In dieser Lektion werden sie lernen, wie man den Infinitiv benutzt, um einen Zweck auszudrücken. Das Arbeitsblatt deckt Grammatik wie das past simple, Frageformen, going to + infinitive, etc. ab. 		En esta lección, aprenderá a usar el infinitivo para expresar propósito. La hoja de trabajo cubre la gramática, incluido el pasado simple, formas de preguntas, "going to" + infinitivo, etc.
320	Healthy living	Gesund leben		Vida saludable	You will practise forming questions with how much / how many and answering with a lot, much, many, a few, a little, etc.	Sie werden üben, Fragen mit how much / how many zu stellen und mit a lot, much, many, a few, a little, etc. darauf zu antworten. 		Practicarás formando preguntas con "How much" / "How many" y respondiendo con " a lot, much, many, a few, a little", etc.
543	Wild man	Der wilde Mann		Hombre salvaje	This lesson is based on a newspaper article about a hermit living alone in the Scottish wilderness. Grammar and structures covered include past simple, countable/uncountable nouns and quantifiers. The lesson also includes vocabulary for describing the outdoors as well as past time expressions with in, on, ago, yesterday and last.	Diese Lektion basiert auf einem Zeitungsartikel über einen Eremiten, der allein in der schottischen Natur lebt. Die Grammatik und die Strukturen beinhalten das past simple, zählbare/unzählbare Nomen und Mengenangaben, bzw. quantifiers. Die Lektion beinhaltet auch Wortschatz, um die freie Natur zu beschreiben sowie Wörter, um die Vergangenheit zu beschreiben wie in, on, ago, yesterday und last.		Esta lección se basa en un artículo de un periódico sobre un ermitaño que vive solo en el desierto escocés. La gramática y las estructuras a trabajar son el pasado simple, sustantivos contables / incontables y cuantificadores. La lección también incluye vocabulario para describir a la naturaleza, así como expresiones de tiempo pasado con "in", "on", "ago", "yesterday" y "last".
429	Seasons and months	Jahreszeiten und Monate		Las estaciones y los meses	In this lesson describe the different seasons of the year, including seasonal activities and clothes that people typically wear. There is also an exercise on ordinal numbers and the months of the year.	In dieser Lektion lernen wir, die verschiedenen Jahreszeiten zu beschreiben und lernen dabei auch, wie man über die jeweiligen Aktivitäten und über die Kleidung, die man zu den entsprechenden Zeiten trägt, spricht. Es gibt auch eine Aufgabe zu den Ordnungszahlen und den Monaten des Jahres. 		En esta lección, describirá las diferentes estaciones del año, incluidas las actividades de temporada y la ropa que la gente usa normalmente en cada una. También hay un ejercicio sobre los números ordinales y los meses del año.
449	Sports and activities	Sport und Aktivitäten		Deportes y actividades	In this lesson you will learn basic words and structures for describing sports, activities and sports people.	In dieser Lektion werden wir grundlegende Wörter und Strukturen lernen, um Sportarten, sportliche Aktivitäten und Sportler zu beschreiben. 		En esta lección, aprenderá palabras y estructuras básicas para hablar de los distintos deportes, actividades y deportistas.
374	Nature and the garden	Natur und Garten		La naturaleza y el jardín	In this lesson you will learn words and phrases for things that you find and do in the garden. Practise how to use the demonstrative pronouns, this, that, these and those.	In dieser Lektion werden sie Wörter und Wendungen für Dinge lernen, die sie im Garten vorfinden und dort tun. Sie üben den Gebrauch der Demonstrativpronomen this, that, these und those.		En esta lección, aprenderá palabras y frases para las cosas que encuentra y hace en el jardín. Practica cómo usar los pronombres demostrativos "this, that, these, those".
498	The kitchen	Die Küche		La cocina	Learn and use vocabulary connected with the kitchen. Study vocabulary for kitchen equipment and furniture, jobs, and common kitchen verbs.	Hier lernen und üben sie den Wortschatz zur Küche. Sie lernen Wortschatz für die Küchenausstattung und Möbel, Arbeit und gebräuchliche Verben für die Küche. 		Aprenda y use vocabulario relacionado con la cocina. Estudie vocabulario para equipos y muebles de cocina, diferentes trabajos y verbos comunes de cocina.
336	In the home	Zu Hause		En casa	In this lesson you will learn how to describe different types of homes, typical features of homes as well as expressions for describing household chores. The lesson assumes prior of knowledge of the present simple and expressions of frequency.	In dieser Lektionen werden sie lernen verschiedene Arten von Häusern und Wohnungen zu beschreiben, typische Merkmale von Häusern und Wohnungen sowie Ausdrücke zur Beschreibung der Hausarbeit. Diese Lektion setzt das Vorwissen des present simple und der Häufigkeitsadverbien voraus. 		En esta lección, aprenderá a describir diferentes tipos de hogares, características típicas de los mismos y expresiones para describir las tareas domésticas. La lección requiere de conocimientos previos del presente simple y expresiones de frecuencia.
305	Furniture and appliances	Möbel und Haushaltsgeräte		Muebles y electrodomésticos 	In this lesson you will learn how to describe and talk about furniture and appliances in the home.	In dieser Lektion lernen Sie, Möbel und Gegenstände im Haus zu beschreiben. 		En esta lección, aprenderá a describir y hablar sobre muebles y electrodomésticos en el hogar.
	NIVEAU B1 - ENGLISH FOR LIFE							
257	Describing appearance	Das Aussehen beschreiben		Describiendo la apariencia	In this lesson you will learn how to describe other people’s physical appearance. The worksheet presents common adjectives used for describing what someone looks like as well as questions for asking about another person’s looks.	In dieser Lektion werden Sie lernen, wie Sie das Aussehen von Leuten beschreiben können. Das Arbeitsblatt stellt häufige Adjektive vor, die verwendet werden, um das Aussehen zu beschreiben und Fragen nach dem Aussehen anderer Leute zu stellen. 		En esta lección, aprenderá a describir la apariencia física de otras personas. La hoja de trabajo presenta adjetivos comunes que se usan para describir cómo se ve alguien como también preguntas sobre el aspecto de otra persona.
376	New people	Neue Leute		Gente nueva	In this lesson you will learn useful expressions for meeting and getting to know new people. The lesson also covers the use of the present simple and present continuous. There is animated video version of the dialogue included in the lesson plan.	In dieser Lektion werden Sie nützliche Ausdrücke lernen, um Leute zu treffen und Leute kennenzulernen. Die Lektion behandelt auch die Verwendung des present simple und present continuous. Im Stundenentwurf ist auch ein animiertes Video des Dialogs enthalten. 		En esta lección, aprenderá expresiones útiles para encontrarse y conocer gente nueva. La lección también cubre el uso del presente simple y del presente continuo. Hay una versión de video animado del diálogo incluido en el plan de la lección.
327	How do you feel?	Wie fühlst du dich?		¿Cómo te sientes?	In this you will learn and practice words for feelings. The worksheet includes visual, text-based and speaking activities. There is also an explanation on the different verbs that can be used when people talk about how they feel.	In dieser Lektion werden Sie Wörter lernen und anwenden, um Gefühle zu beschreiben. Das Arbeitsblatt enthält visuelle Aufgaben, text-basierte Aufgaben und Sprechaufgaben. Es gibt auch eine Erklärung für die verschiedenen Verben, die verwendet werden können, wenn Menschen über ihr Befinden und ihre Gefühle sprechen. 		En esta lección, aprenderá y practicará palabras para expresar sentimientos. La hoja de trabajo incluye actividades visuales, otras basadas en texto y otras del habla. También hay una explicación sobre los diferentes verbos que se pueden usar cuando las personas hablan sobre cómo se sienten.
214	Buying clothes	Kleidung kaufen		Comprando ropa	This worksheet presents useful words and structures for describing and buying clothes. The lesson includes a listening exercise.	Das Arbeitsblatt stellt nützliche Wörter und Strukturen vor, um Kleidung zu beschreiben und zu kaufen. Die Lektion enthält eine Hörverstehensaufgabe. 		Esta hoja de trabajo presenta palabras y estructuras útiles para cómo describir y comprar ropa. La lección incluye un ejercicio de escucha.
518	Travel plans	Reisepläne		Planes de viaje	In this dialogue-based lesson you will review the structure 'going to' + infinitive for stating plans and making predictions.	In dieser Dialog basierten Lektion werden Sie die Struktur 'going to' + infinitive wiederholen, mit der sie Pläne formulieren und Vorhersagen treffen. 		En esta lección basada en diálogos, revisará la estructura "going to" + infinitivo para planes y predicciones.
325	Hotel reservations	Reservierungen im Hotel		Reservas de hotel	In this dialogue-aided lesson you will learn how to book a hotel room and practise talking about hotels.	In dieser Dialog gestützten Lektion werden Sie lernen, wie man ein Hotelzimmer bucht und Sie werden üben, über Hotels zu sprechen. 		En esta lección con ayuda de diálogo, aprenderá a reservar una habitación de hotel y a practicar cómo hablar de los hoteles.
210	Booking a holiday	Den Urlaub buchen		Reservando un viaje	In this lesson you will learn and use vocabulary for booking a holiday on the internet. Exercises cover types of holidays and accommodation, plus how to email a host if you are staying in their apartment.	In dieser Lektion werden Sie Wortschatz für eine Urlaubsbuchung im Internet lernen und anwenden. Die Aufgaben behandeln verschiedene Arten von Urlaub und Unterkunft. Zusätzlich werden Sie lernen, wie man einem Gastgeber schreibt, wenn man in dessen Ferienwohnung wohnen will.  		En esta lección, aprenderá y utilizará vocabulario para reservar vacaciones en Internet. Los ejercicios cubren tipos de vacaciones y alojamiento, además de cómo enviar un correo electrónico a un anfitrión si se hospeda en su apartamento.
393	Photo story	Eine Photogeschichte		La historia de la foto	In this lesson you will listen to Kate talking about her Facebook photos and study the past continuous tense.	In dieser Lektion werden Sie hören, wie Kate über ihre Facebook-Fotos spricht und werden die past continuous Zeitform lernen.		En esta lección, escucharás a Kate hablar sobre sus fotos de Facebook y estudiarás el pasado continuo.
454	Stereotypes	Klischees		Estereotipos	In this lesson you will read a short article on the perception of British culture according to expats living in Britain. The passive voice is studied in the grammar part of the lesson.	In dieser Lektion werden Sie einen kurzen Artikel darüber lesen, wie in Großbritannien lebende Ausländer die britische Kultur wahrnehmen. Das Passiv (passive voice) wird im grammatischen Teil der Lektion behandelt. 		En esta lección, leerá un breve artículo sobre la percepción de la cultura británica según los expatriados que viven en Gran Bretaña. En la sección gramatical se estudia la voz pasiva.
