ID Question DOMANDA|Objective OBIETTIVO|Instructions ISTRUZIONI|Question DOMANDA|Question time TEMPO DELLA DOMANDA|Answer RISPOSTA|Is correct é CORRETTO
|||||ci sono 60 persone alla festa|0
|||||ci saranno su per giu' 16 persone alla festa|1
26|Orale|Quanto costa la spedizione?|Ho pagato 50 euro di spedizione.|60|5000 euro|0
|||||50euro|1
|||||50 lire|0
27|Orale|Quale frase é vera?|Cinzia ha detto che terminerà presto il suo lavoro perché é un gioco da ragazzi.|60|cinzia vuole mangiare una torta stasera|0
|||||cinzia potrebbe lavorare fino a tardi stasera|0
|||||cinzia pensa che il suo progetto é facile|1
28|Orale|Quale frase é vera?|Nicola ha avuto un grande sconto sulla sua nuova tv.|60|la tv di nicola é grande|0
|||||nicole ha acquistato la sua tv ad un  prezzo notevolmente ridotto|1
|||||nicola non contava le televisioni|0
29|Orale|Quale frase é vera?|Mi dispiace dirti che oggi l'ufficio é chiuso.|60|a lui non piace lavorare in ufficio|0
|||||a lui non piace che l'ufficio sia chiuso|0
|||||lui spiega che l'ufficio é chiuso|1
30|Orale|Quale frase é vera?|Loredana non poteva rifiutare l'offerta di lavoro perché la proposta di stipendio era alta.|60|il salario era troppo alto per loredana|0
|||||loredana ha accettato la proposta di lavoro|1
|||||loredana ha rifiutato l'offerta di lavoro|0
