ID Question|Objective|Instructions|Question|Question time|Answer|Is correct
10|Oral|Wat bedoelt deze persoon?|Ik ben bang dat de laatste kamer net gereserveerd is.|60|De spreker is bang dat de prijs van de kamers omhoog gaat.|0
|||||Er zijn geen kamers meer beschikbaar in het hotel.|1
|||||Je kan nog steeds een kamer reserveren.|0
11|Oral|Welk antwoord is juist?|De prijzen zijn gestaag gedaald sinds vorig jaar.|60|Prijzen zijn lager dan ze vorig jaar waren.|1
|||||Prijzen zijn hetzelfde als vorig jaar.|0
|||||Prijzen zijn hoger dan vorig jaar.|0
12|Oral|Wat bedoelt deze persoon?|Mr. Smit wil dat Alice hem terugbelt.|60|Mr. Smit wil Alice bellen.|0
|||||Alice moet Mr. Smit terugbellen.|1
|||||Mr. Smit moet Alice terugbellen.|0
13|Oral|Welk antwoord is juist?|Ik kan me de voornaam van Alex zijn leraar niet meer herinneren.|60|De leraar kan zich Alex zijn voornaam niet meer herinneren.|0
|||||Deze persoon kan zich de voornaam van de leraar niet meer herinneren.|1
|||||Alex kan zich de voornaam van de leraar niet meer herinneren.|0
14|Oral|Wat bedoelt deze persoon?|We zouden je hebben geholpen als je ons over het probleem had verteld.|60|Ze hielpen niet omdat ze niet wisten dat er een probleem was.|1
|||||Ze wisten dat er een probleem was, maar ze besloten niet te helpen.|0
|||||Ze hielpen zodra ze wisten dat er een probleem was.|0
15|Oral|Wat bedoelt deze persoon?|Ik kan me niet herinneren dat ik hem ooit heb gebeld.|60|Deze persoon vergat hem terug te bellen.|0
|||||Deze persoon denkt dat hij hem nog nooit heeft gebeld.|1
|||||Deze persoon dacht er niet aan om hem terug te bellen.|0
16|Oral|Welk antwoord is juist?|Er waren hier 13 werknemers voor 7 uur 's ochtends die aan de 3 projecten werkten.|60|Er zijn 3 projecten.|1
|||||Er waren 7 werknemers aanwezig.|0
|||||Het duurt 13 minuten om de projecten af te maken.|0
17|Oral|Wat zegt deze persoon over Jan?|Ik weet niet zeker of Jan de juiste persoon voor dit werk is, hij is niet zo vriendelijk.|60|Hij is niet zo aardig.|1
|||||Hij is een leuk persoon.|0
|||||Hij vindt het leuk om met mensen te praten.|0
18|Oral|Kies het beste antwoord.|Ik heb niet echt een goede dag vandaag.|60|Ik ook.|0
|||||Ik ook niet.|1
|||||Ook ik.|0
19|Oral|Wat bedoelt deze persoon?|Karen deed vroeger dit werk.|60|Karen deed dit werk 's ochtends vroeg.|0
|||||Karen doet dit werk niet meer.|1
|||||Karen deed dit werk eerder dan nodig.|0
20|Oral|Wat bedoelt deze persoon?|Ik woon al 10 jaar in Parijs, dus ik ben gewend aan drukte.|60|Deze persoon is gewend aan plekken met veel mensen.|1
|||||Deze persoon woont niet meer in Parijs.|0
|||||Deze persoon ervaart veel stress op haar werk.|0
21|Oral|Wanneer raakt ze in paniek?|Ze raakt in paniek als ze een lege maag heeft.|60|Als haar pen leeg is.|0
|||||Als ze honger heeft.|1
|||||Als haar tas leeg is.|0
22|Oral|Wat bedoelt deze persoon?|Jacob stuurt geen emails meer naar de leverancier omdat hij bijna nooit antwoordt.|60|Jacob antwoordt bijna nooit op de leverancier.|0
|||||Jacob stuurt geen emails meer omdat de leverancier bijna nooit terugschrijft.|1
|||||De leverancier stuurt geen emails meer omdat Jacob bijna nooit terugschrijft.|0
23|Oral|Welk antwoord is juist?|Paul kwam met zijn nieuwe auto naar zijn werk.|60|Paul heeft een nieuwe auto gekocht.|0
|||||Paul reed met zijn nieuwe auto naar de plek waar hij werkt.|1
|||||Paul's auto is blauw.|0
24|Oral|Wat is het beste antwoord op de vraag?|Mag ik jouw pen even lenen? Ik kan de mijne niet vinden.|60|Natuurlijk, ga je gang.|1
|||||Ja, graag.|0
|||||Ja, dat is zo.|0
25|Oral|Wat zegt deze persoon?|Er komen ongeveer 16 mensen naar het feestje.|60|Er komen precies 16 mensen.|0
|||||Er komen ongeveer 60 mensen.|0
|||||Er komen 16 mensen, misschien iets meer of minder|1
26|Oral|Hoeveel waren de verzendkosten?|Hij betaalde 62,21 euro voor de verzendkosten.|60|62,23 euro.|0
|||||62,21 euro.|1
|||||32, 21 euro.|0
27|Oral|Welk antwoord is juist?|Cynthia zegt dat ze vanavond vroeg klaar is want dit project is heel gemakkelijk.|60|Cynthia vindt het werk moeilijk.|0
|||||Cynthia moet misschien langer werken vanavond.|0
|||||Cynthia vindt het project niet moeilijk.|1
28|Oral|Welk antwoord is juist?|Nicole kreeg een enorme korting op haar TV.|60|Nicole's TV is heel groot.|0
|||||Nicole kocht haar TV voor een veel lagere prijs.|1
|||||Nicole kreeg haar TV veel eerder dan gedacht.|0
29|Oral|Welk antwoord is juist?|Het kantoor is vandaag dicht.|60|Deze persoon zegt dat het kantoor vandaag open is.|0
|||||Deze persoon zegt dat ze aan het verbouwen zijn in het kantoor.|0
|||||Deze persoon zegt dat het kantoor vandaag niet open is.|1
30|Oral|Welk antwoord is juist?|Het nieuwe salaris van Linda valt haar mee.|60|Linda vindt dat haar salaris niet echt ok is.|0
|||||Linda vindt dat haar salaris prima is.|1
|||||Linda vindt dat haar salaris niet hoog genoeg is.|0
